datetime,co,Lat,Long,day,month,year,hour,gmt,no2,o3,pm10,pm25,so2
2017-07-09 17:00:00,0.24,34.06643,-118.22675,9,07,2017,17,-08:00,0.01,0.05,43.0,22.0,0.001
2017-07-09 18:00:00,0.21,34.06643,-118.22675,9,07,2017,18,-08:00,0.008,0.063,41.0,22.0,0.001
2017-07-09 19:00:00,0.21,34.06643,-118.22675,9,07,2017,19,-08:00,0.006,0.073,42.0,20.0,0.001
2017-07-09 21:00:00,0.24,34.06643,-118.22675,9,07,2017,21,-08:00,0.011000000000000001,0.077,45.0,28.0,0.002
2017-07-09 22:00:00,0.21,34.06643,-118.22675,9,07,2017,22,-08:00,0.01,0.068,39.0,23.0,0.002
2017-07-09 23:00:00,0.2,34.06643,-118.22675,9,07,2017,23,-08:00,0.008,0.062,33.0,19.0,0.001
2018-09-06 17:00:00,0.31,34.06643,-118.22675,6,09,2018,17,-08:00,0.011000000000000001,0.027999999999999997,34.0,14.0,0.0
2018-03-13 07:00:00,0.23,34.06643,-118.22675,3,03,2018,07,-08:00,0.021,0.008,25.0,16.0,0.0
2017-07-10 01:00:00,0.16,34.06643,-118.22675,0,07,2017,01,-08:00,0.008,0.042,37.0,22.0,0.001
2017-07-10 02:00:00,0.17,34.06643,-118.22675,0,07,2017,02,-08:00,0.012,0.035,34.0,18.0,0.001
2017-07-10 03:00:00,0.21,34.06643,-118.22675,0,07,2017,03,-08:00,0.015,0.024,35.0,24.0,0.001
2017-07-10 04:00:00,0.21,34.06643,-118.22675,0,07,2017,04,-08:00,0.018000000000000002,0.015,29.0,16.0,0.001
2017-07-10 05:00:00,0.21,34.06643,-118.22675,0,07,2017,05,-08:00,0.017,0.017,32.0,20.0,0.001
2017-07-10 06:00:00,0.19,34.06643,-118.22675,0,07,2017,06,-08:00,0.017,0.015,30.0,17.0,0.002
2017-07-10 07:00:00,0.18,34.06643,-118.22675,0,07,2017,07,-08:00,0.015,0.016,28.0,21.0,0.002
2017-07-10 08:00:00,0.24,34.06643,-118.22675,0,07,2017,08,-08:00,0.018000000000000002,0.013000000000000001,29.0,18.0,0.001
2017-07-10 09:00:00,0.22,34.06643,-118.22675,0,07,2017,09,-08:00,0.016,0.015,25.0,15.0,0.001
2017-07-10 10:00:00,0.22,34.06643,-118.22675,0,07,2017,10,-08:00,0.013999999999999999,0.016,27.0,21.0,0.001
2018-09-17 03:00:00,0.28,34.06643,-118.22675,7,09,2018,03,-08:00,0.012,0.031,30.0,9.0,0.0
2018-08-01 22:00:00,0.14,34.06643,-118.22675,1,08,2018,22,-08:00,0.004,0.037000000000000005,27.0,7.0,0.0
2018-07-27 13:00:00,0.42,34.06643,-118.22675,7,07,2018,13,-08:00,0.015,0.012,50.0,39.0,0.0
2018-07-03 02:00:00,0.11,34.06643,-118.22675,3,07,2018,02,-08:00,0.004,0.032,12.0,8.0,0.0
